Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE,Duration_min,Set_Volume,DateOnly,Week,DOW
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Squat (Machine),2,60.0,11,0.0,0,,,,114,660.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Squat (Machine),3,70.0,11,0.0,0,,,,114,770.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Stair Master ,1,0.0,10,0.0,0,,,,114,,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Hip Thrust (Barbell),2,146.0,10,0.0,0,,,,114,1460.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Oblique Scrunches,2,0.0,10,0.0,0,,,,114,,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Basic Scrunches,3,0.0,12,0.0,0,,,,114,,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Basic Scrunches,2,0.0,12,0.0,0,,,,114,,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Oblique Scrunches,1,0.0,10,0.0,0,,,,114,,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Triceps Pushdown (Cable - Straight Bar),1,65.0,10,0.0,0,,,,114,650.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Triceps Pushdown (Cable - Straight Bar),2,70.0,10,0.0,0,,,,114,700.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Cable Curl,1,60.0,10,0.0,0,,,,114,600.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Cable Curl,2,60.0,10,0.0,0,,,,114,600.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Triceps Pushdown (Cable - Straight Bar),3,70.0,10,0.0,0,,,,114,700.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Lat Pulldown (Cable),1,65.0,10,0.0,0,,,,114,650.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Lat Pulldown (Cable),2,65.0,10,0.0,0,,,,114,650.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Lat Pulldown (Cable),3,65.0,10,0.0,0,,,,114,650.0,2025-02-24,2025-02-24,Monday
2025-02-24 10:50:05,Usual Workout (Monday),1h 54min,Basic Scrunches,1,0.0,12,0.0,0,,,,114,,2025-02-24,2025-02-24,Monday
